raw_source,role,acceptance_rule,beam_width,budget_ge,task_spec,condition_number,batch_size,seed,controller,controller_role,initial_loss,final_loss,log_improvement,floor_hit,total_cost_ge,search_cost_ge,n_steps,stop_reason,rejection_rate,failure_rate,negative_curvature_rate,target,reached,cost_to_target_ge,steps_to_target
headroom_nonlinear-diagnostic_step_size_fixed_b8_2a09bd45.jsonl,"diagnostic, unusable benchmark",control,8,150.0,rosen_d5_s100_std,,,2,shrinking_Q4@medium,,24.20000457763672,3.9308393001556396,1.817499856860624,0,149.5999999999999,43011.1,25,cost_budget,0.6923076923076923,0.0,0.0,absolute_loss<=0.01,0,,
headroom_nonlinear-diagnostic_step_size_fixed_b8_2a09bd45.jsonl,"diagnostic, unusable benchmark",control,8,150.0,rosen_d5_s100_std,,,2,shrinking_Q4_narrow,,24.20000457763672,3.9308393001556396,1.817499856860624,0,149.5999999999999,43011.1,25,cost_budget,0.6923076923076923,0.0,0.0,absolute_loss<=0.01,0,,
headroom_nonlinear-diagnostic_step_size_fixed_b8_2a09bd45.jsonl,"diagnostic, unusable benchmark",control,8,150.0,rosen_d5_s100_std,,,2,static[0],,24.20000457763672,3.953770875930786,1.8116830466643035,0,148.4,0.0,28,cost_budget,0.0,0.0,0.0,absolute_loss<=0.01,0,,
headroom_nonlinear-diagnostic_step_size_fixed_b8_2a09bd45.jsonl,"diagnostic, unusable benchmark",control,8,150.0,rosen_d5_s100_std,,,2,static[10],,24.20000457763672,4.441521644592285,1.6953557918436204,0,149.8,0.0,35,cost_budget,0.027777777777777776,0.0,0.0,absolute_loss<=0.01,0,,
headroom_nonlinear-diagnostic_step_size_fixed_b8_2a09bd45.jsonl,"diagnostic, unusable benchmark",control,8,150.0,rosen_d5_s100_std,,,2,static[2],,24.20000457763672,4.616584300994873,1.6566977194548171,0,147.79999999999995,0.0,19,cost_budget,0.9,0.0,0.0,absolute_loss<=0.01,0,,
headroom_nonlinear-diagnostic_step_size_fixed_b8_2a09bd45.jsonl,"diagnostic, unusable benchmark",control,8,150.0,rosen_d5_s100_std,,,2,static[4],,24.20000457763672,3.953799247741699,1.8116758708035854,0,148.4,0.0,28,cost_budget,0.0,0.0,0.0,absolute_loss<=0.01,0,,
headroom_nonlinear-diagnostic_step_size_fixed_b8_2a09bd45.jsonl,"diagnostic, unusable benchmark",control,8,150.0,rosen_d5_s100_std,,,2,static[6],best_static,24.20000457763672,3.930868148803711,1.817492517831982,0,147.2,0.0,20,cost_budget,0.19047619047619047,0.0,0.0,absolute_loss<=0.01,0,,
headroom_nonlinear-diagnostic_step_size_fixed_b8_2a09bd45.jsonl,"diagnostic, unusable benchmark",control,8,150.0,rosen_d5_s100_std,,,2,static[8],,24.20000457763672,3.9710004329681396,1.8073347611395356,0,147.1,0.0,37,cost_budget,0.0,0.0,0.0,absolute_loss<=0.01,0,,
headroom_nonlinear-diagnostic_step_size_fixed_b8_2a09bd45.jsonl,"diagnostic, unusable benchmark",control,8,150.0,rosen_d5_s100_std,,,3,best_static@easy,,24.20000457763672,3.930868148803711,1.817492517831982,0,147.2,0.0,20,cost_budget,0.19047619047619047,0.0,0.0,absolute_loss<=0.1,0,,
headroom_nonlinear-diagnostic_step_size_fixed_b8_2a09bd45.jsonl,"diagnostic, unusable benchmark",control,8,150.0,rosen_d5_s100_std,,,3,best_static@hard,,24.20000457763672,3.930868148803711,1.817492517831982,0,147.2,0.0,20,cost_budget,0.19047619047619047,0.0,0.0,absolute_loss<=0.0001,0,,
headroom_nonlinear-diagnostic_step_size_fixed_b8_2a09bd45.jsonl,"diagnostic, unusable benchmark",control,8,150.0,rosen_d5_s100_std,,,3,best_static@medium,,24.20000457763672,3.930868148803711,1.817492517831982,0,147.2,0.0,20,cost_budget,0.19047619047619047,0.0,0.0,absolute_loss<=0.01,0,,
headroom_nonlinear-diagnostic_step_size_fixed_b8_2a09bd45.jsonl,"diagnostic, unusable benchmark",control,8,150.0,rosen_d5_s100_std,,,3,committed_Q4_narrow,,24.20000457763672,3.9308393001556396,1.817499856860624,0,149.5999999999999,26041.8,25,cost_budget,0.6923076923076923,0.0,0.0,absolute_loss<=0.01,0,,
headroom_nonlinear-diagnostic_step_size_fixed_b8_2a09bd45.jsonl,"diagnostic, unusable benchmark",control,8,150.0,rosen_d5_s100_std,,,3,heuristic,,24.20000457763672,3.9308393001556396,1.817499856860624,0,147.79999999999995,0.0,20,cost_budget,0.3333333333333333,0.0,0.0,absolute_loss<=0.01,0,,
headroom_nonlinear-diagnostic_step_size_fixed_b8_2a09bd45.jsonl,"diagnostic, unusable benchmark",control,8,150.0,rosen_d5_s100_std,,,3,onestep_absolute,,24.20000457763672,3.9308388233184814,1.817499978167335,0,146.39999999999998,13106.0,24,cost_budget,0.16,0.0,0.0,absolute_loss<=0.01,0,,
headroom_nonlinear-diagnostic_step_size_fixed_b8_2a09bd45.jsonl,"diagnostic, unusable benchmark",control,8,150.0,rosen_d5_s100_std,,,3,onestep_narrow,,24.20000457763672,3.9308388233184814,1.817499978167335,0,149.0,1582.2,26,cost_budget,0.14814814814814814,0.0,0.0,absolute_loss<=0.01,0,,
headroom_nonlinear-diagnostic_step_size_fixed_b8_2a09bd45.jsonl,"diagnostic, unusable benchmark",control,8,150.0,rosen_d5_s100_std,,,3,onestep_wide,,24.20000457763672,3.9308393001556396,1.817499856860624,0,146.29999999999998,3352.4,25,cost_budget,0.23076923076923078,0.0,0.0,absolute_loss<=0.01,0,,
headroom_nonlinear-diagnostic_step_size_fixed_b8_2a09bd45.jsonl,"diagnostic, unusable benchmark",control,8,150.0,rosen_d5_s100_std,,,3,open_loop[0],,24.20000457763672,3.931077718734741,1.8174392053481234,0,148.5,0.0,21,cost_budget,0.18181818181818182,0.0,0.0,absolute_loss<=0.01,0,,
headroom_nonlinear-diagnostic_step_size_fixed_b8_2a09bd45.jsonl,"diagnostic, unusable benchmark",control,8,150.0,rosen_d5_s100_std,,,3,open_loop[1],best_open_loop,24.20000457763672,3.9308390617370605,1.8174999175139777,0,145.39999999999998,0.0,21,cost_budget,0.3181818181818182,0.0,0.0,absolute_loss<=0.01,0,,
headroom_nonlinear-diagnostic_step_size_fixed_b8_2a09bd45.jsonl,"diagnostic, unusable benchmark",control,8,150.0,rosen_d5_s100_std,,,3,open_loop[2],,24.20000457763672,4.4616804122924805,1.6908273531941032,0,148.5,0.0,20,cost_budget,0.7142857142857143,0.0,0.0,absolute_loss<=0.01,0,,
headroom_nonlinear-diagnostic_step_size_fixed_b8_2a09bd45.jsonl,"diagnostic, unusable benchmark",control,8,150.0,rosen_d5_s100_std,,,3,open_loop[3],,24.20000457763672,4.44149923324585,1.695360837727615,0,149.8,0.0,35,cost_budget,0.027777777777777776,0.0,0.0,absolute_loss<=0.01,0,,
headroom_nonlinear-diagnostic_step_size_fixed_b8_2a09bd45.jsonl,"diagnostic, unusable benchmark",control,8,150.0,rosen_d5_s100_std,,,3,open_loop[4],,24.20000457763672,3.945312023162842,1.813824777827125,0,144.5,0.0,21,cost_budget,0.18181818181818182,0.0,0.0,absolute_loss<=0.01,0,,
headroom_nonlinear-diagnostic_step_size_fixed_b8_2a09bd45.jsonl,"diagnostic, unusable benchmark",control,8,150.0,rosen_d5_s100_std,,,3,open_loop[5],,24.20000457763672,3.9685070514678955,1.8079628559142058,0,146.9,0.0,32,cost_budget,0.030303030303030304,0.0,0.0,absolute_loss<=0.01,0,,
headroom_nonlinear-diagnostic_step_size_fixed_b8_2a09bd45.jsonl,"diagnostic, unusable benchmark",control,8,150.0,rosen_d5_s100_std,,,3,shrinking_Q4@easy,,24.20000457763672,3.9308393001556396,1.817499856860624,0,149.5999999999999,43011.1,25,cost_budget,0.6923076923076923,0.0,0.0,absolute_loss<=0.1,0,,
headroom_nonlinear-diagnostic_step_size_fixed_b8_2a09bd45.jsonl,"diagnostic, unusable benchmark",control,8,150.0,rosen_d5_s100_std,,,3,shrinking_Q4@hard,,24.20000457763672,3.9308393001556396,1.817499856860624,0,149.5999999999999,43011.1,25,cost_budget,0.6923076923076923,0.0,0.0,absolute_loss<=0.0001,0,,
headroom_nonlinear-diagnostic_step_size_fixed_b8_2a09bd45.jsonl,"diagnostic, unusable benchmark",control,8,150.0,rosen_d5_s100_std,,,3,shrinking_Q4@medium,,24.20000457763672,3.9308393001556396,1.817499856860624,0,149.5999999999999,43011.1,25,cost_budget,0.6923076923076923,0.0,0.0,absolute_loss<=0.01,0,,
headroom_nonlinear-diagnostic_step_size_fixed_b8_2a09bd45.jsonl,"diagnostic, unusable benchmark",control,8,150.0,rosen_d5_s100_std,,,3,shrinking_Q4_narrow,,24.20000457763672,3.9308393001556396,1.817499856860624,0,149.5999999999999,43011.1,25,cost_budget,0.6923076923076923,0.0,0.0,absolute_loss<=0.01,0,,
headroom_nonlinear-diagnostic_step_size_fixed_b8_2a09bd45.jsonl,"diagnostic, unusable benchmark",control,8,150.0,rosen_d5_s100_std,,,3,static[0],,24.20000457763672,3.953770875930786,1.8116830466643035,0,148.4,0.0,28,cost_budget,0.0,0.0,0.0,absolute_loss<=0.01,0,,
headroom_nonlinear-diagnostic_step_size_fixed_b8_2a09bd45.jsonl,"diagnostic, unusable benchmark",control,8,150.0,rosen_d5_s100_std,,,3,static[10],,24.20000457763672,4.441521644592285,1.6953557918436204,0,149.8,0.0,35,cost_budget,0.027777777777777776,0.0,0.0,absolute_loss<=0.01,0,,
headroom_nonlinear-diagnostic_step_size_fixed_b8_2a09bd45.jsonl,"diagnostic, unusable benchmark",control,8,150.0,rosen_d5_s100_std,,,3,static[2],,24.20000457763672,4.616584300994873,1.6566977194548171,0,147.79999999999995,0.0,19,cost_budget,0.9,0.0,0.0,absolute_loss<=0.01,0,,
headroom_nonlinear-diagnostic_step_size_fixed_b8_2a09bd45.jsonl,"diagnostic, unusable benchmark",control,8,150.0,rosen_d5_s100_std,,,3,static[4],,24.20000457763672,3.953799247741699,1.8116758708035854,0,148.4,0.0,28,cost_budget,0.0,0.0,0.0,absolute_loss<=0.01,0,,
headroom_nonlinear-diagnostic_step_size_fixed_b8_2a09bd45.jsonl,"diagnostic, unusable benchmark",control,8,150.0,rosen_d5_s100_std,,,3,static[6],best_static,24.20000457763672,3.930868148803711,1.817492517831982,0,147.2,0.0,20,cost_budget,0.19047619047619047,0.0,0.0,absolute_loss<=0.01,0,,
headroom_nonlinear-diagnostic_step_size_fixed_b8_2a09bd45.jsonl,"diagnostic, unusable benchmark",control,8,150.0,rosen_d5_s100_std,,,3,static[8],,24.20000457763672,3.9710004329681396,1.8073347611395356,0,147.1,0.0,37,cost_budget,0.0,0.0,0.0,absolute_loss<=0.01,0,,
headroom_nonlinear-diagnostic_step_size_fixed_b8_2a09bd45.jsonl,"diagnostic, unusable benchmark",control,8,150.0,rosen_d5_s100_std,,,4,best_static@easy,,24.20000457763672,3.930868148803711,1.817492517831982,0,147.2,0.0,20,cost_budget,0.19047619047619047,0.0,0.0,absolute_loss<=0.1,0,,
headroom_nonlinear-diagnostic_step_size_fixed_b8_2a09bd45.jsonl,"diagnostic, unusable benchmark",control,8,150.0,rosen_d5_s100_std,,,4,best_static@hard,,24.20000457763672,3.930868148803711,1.817492517831982,0,147.2,0.0,20,cost_budget,0.19047619047619047,0.0,0.0,absolute_loss<=0.0001,0,,
headroom_nonlinear-diagnostic_step_size_fixed_b8_2a09bd45.jsonl,"diagnostic, unusable benchmark",control,8,150.0,rosen_d5_s100_std,,,4,best_static@medium,,24.20000457763672,3.930868148803711,1.817492517831982,0,147.2,0.0,20,cost_budget,0.19047619047619047,0.0,0.0,absolute_loss<=0.01,0,,
headroom_nonlinear-diagnostic_step_size_fixed_b8_2a09bd45.jsonl,"diagnostic, unusable benchmark",control,8,150.0,rosen_d5_s100_std,,,4,committed_Q4_narrow,,24.20000457763672,3.9308393001556396,1.817499856860624,0,149.5999999999999,26041.8,25,cost_budget,0.6923076923076923,0.0,0.0,absolute_loss<=0.01,0,,
headroom_nonlinear-diagnostic_step_size_fixed_b8_2a09bd45.jsonl,"diagnostic, unusable benchmark",control,8,150.0,rosen_d5_s100_std,,,4,heuristic,,24.20000457763672,3.9308393001556396,1.817499856860624,0,147.79999999999995,0.0,20,cost_budget,0.3333333333333333,0.0,0.0,absolute_loss<=0.01,0,,
headroom_nonlinear-diagnostic_step_size_fixed_b8_2a09bd45.jsonl,"diagnostic, unusable benchmark",control,8,150.0,rosen_d5_s100_std,,,4,onestep_absolute,,24.20000457763672,3.9308388233184814,1.817499978167335,0,146.39999999999998,13106.0,24,cost_budget,0.16,0.0,0.0,absolute_loss<=0.01,0,,
headroom_nonlinear-diagnostic_step_size_fixed_b8_2a09bd45.jsonl,"diagnostic, unusable benchmark",control,8,150.0,rosen_d5_s100_std,,,4,onestep_narrow,,24.20000457763672,3.9308388233184814,1.817499978167335,0,149.0,1582.2,26,cost_budget,0.14814814814814814,0.0,0.0,absolute_loss<=0.01,0,,
headroom_nonlinear-diagnostic_step_size_fixed_b8_2a09bd45.jsonl,"diagnostic, unusable benchmark",control,8,150.0,rosen_d5_s100_std,,,4,onestep_wide,,24.20000457763672,3.9308393001556396,1.817499856860624,0,146.29999999999998,3352.4,25,cost_budget,0.23076923076923078,0.0,0.0,absolute_loss<=0.01,0,,
headroom_nonlinear-diagnostic_step_size_fixed_b8_2a09bd45.jsonl,"diagnostic, unusable benchmark",control,8,150.0,rosen_d5_s100_std,,,4,open_loop[0],,24.20000457763672,3.931077718734741,1.8174392053481234,0,148.5,0.0,21,cost_budget,0.18181818181818182,0.0,0.0,absolute_loss<=0.01,0,,
headroom_nonlinear-diagnostic_step_size_fixed_b8_2a09bd45.jsonl,"diagnostic, unusable benchmark",control,8,150.0,rosen_d5_s100_std,,,4,open_loop[1],best_open_loop,24.20000457763672,3.9308390617370605,1.8174999175139777,0,145.39999999999998,0.0,21,cost_budget,0.3181818181818182,0.0,0.0,absolute_loss<=0.01,0,,
headroom_nonlinear-diagnostic_step_size_fixed_b8_2a09bd45.jsonl,"diagnostic, unusable benchmark",control,8,150.0,rosen_d5_s100_std,,,4,open_loop[2],,24.20000457763672,4.4616804122924805,1.6908273531941032,0,148.5,0.0,20,cost_budget,0.7142857142857143,0.0,0.0,absolute_loss<=0.01,0,,
headroom_nonlinear-diagnostic_step_size_fixed_b8_2a09bd45.jsonl,"diagnostic, unusable benchmark",control,8,150.0,rosen_d5_s100_std,,,4,open_loop[3],,24.20000457763672,4.44149923324585,1.695360837727615,0,149.8,0.0,35,cost_budget,0.027777777777777776,0.0,0.0,absolute_loss<=0.01,0,,
headroom_nonlinear-diagnostic_step_size_fixed_b8_2a09bd45.jsonl,"diagnostic, unusable benchmark",control,8,150.0,rosen_d5_s100_std,,,4,open_loop[4],,24.20000457763672,3.945312023162842,1.813824777827125,0,144.5,0.0,21,cost_budget,0.18181818181818182,0.0,0.0,absolute_loss<=0.01,0,,
headroom_nonlinear-diagnostic_step_size_fixed_b8_2a09bd45.jsonl,"diagnostic, unusable benchmark",control,8,150.0,rosen_d5_s100_std,,,4,open_loop[5],,24.20000457763672,3.9685070514678955,1.8079628559142058,0,146.9,0.0,32,cost_budget,0.030303030303030304,0.0,0.0,absolute_loss<=0.01,0,,
